Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT222213,Chloe Anderson,Daniel Young,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,84140,MEM,Bbq Rub /seasonings,BKK,No,No,No,No,No,Tennessee,Bangkok,Thailand,2022-04-19T19:12:04.466Z,Cancel
MAT226060,Aurora Patel,Alexander Carter,Qatar Airways,Qatar Airways / LAX *,General,289157,ORD,Electrical Insulation ,BLR,No,No,No,No,No,Illinois,Karnataka,India,2022-10-18T20:46:02.738Z,Completed
MAT223012,Blake Garcia,Evelyn Jones,Turkish Airlines,Turkish Airlines/JFK *,Other,317651,BOS,GTPO 8102 ROHS COMPOUND,HYD,No,No,No,No,No,Massachusetts,Andhra Pradesh,India,2022-05-27T15:19:00.502Z,Completed
MAT227718,Blake Garcia,Benjamin Lee,Air India,Air India / SFO *,General,68322,SFO,Bond Maintenance Shampoo,DEL,No,No,No,No,No,California,Punjab,India,2022-12-20T20:03:44.933Z,Completed
MAT232816,Evelyn Martin,Benjamin Lee,Egypt Air Cargo,Egypt Air Cargo / JFK *,Other,279001,ATL,SSD Heat Sensor,CAI,No,No,No,No,No,Georgia,Cairo,Egypt,2023-04-21T15:37:01.589Z,Completed
MAT232039,Evelyn Martin,Ava Garcia,Air India,Air India / SFO *,General,306254,SFO,"Mineral Supplement Water				",DEL,No,No,No,No,No,California,Punjab,India,2023-03-22T19:59:27.723Z,Completed
MAT232908,Lucas Thompson,Evelyn Jones,Qatar Airways,Qatar Airways / LAX *,Other,31272,IAD,"Motor, 500 HP
Horizontal Auger",CCU,No,No,No,No,No,District of Columbia,West Bengal,India,2023-04-27T11:46:17.338Z,Completed
MAT222504,Lucas Thompson,Mia Garcia,Turkish Airlines,Turkish Airlines/JFK *,Other,248974,LAX,GRASS GLAZE-DRY,IST,No,No,No,No,No,California,Adana,Turkey,2022-05-04T13:08:02.826Z,Completed
MAT226545,Evelyn Martin,Ava Garcia,Qatar Airways,Qatar Airways / LAX *,General,288913,LAX,Essential Oils,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-11-03T13:50:54.006Z,Completed
MAT215089,Matthew Johnson,Luna Miller,Korean Air Cargo,Korean Air Cargo / SFO *,Household/Personal Goods,124758,SFO,Used Household and Personal Effect,KUL,Yes,No,No,No,No,California,Selangor,Malaysia,2021-09-01T19:36:11.434Z,Completed
MAT215281,Aurora Patel,Daniel Young,Turkish Airlines,Turkish Airlines/JFK *,Other,107015,LAX,E-Liquid,KWI,No,No,No,No,No,California,Farwaniya,Kuwait,2021-09-09T15:52:55.472Z,Completed
MAT225004,Matthew Johnson,Luna Miller,Qatar Airways,Qatar Airways / LAX *,General,184230,SFO,"Irrigation Equipment
",RUH,No,No,No,No,No,California,Riyadh,Saudi Arabia,2022-09-02T18:12:30.580Z,Completed
MAT240523,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,166990,JFK,General cargo,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2024-01-24T22:25:44.027Z,Released
MAT242034,Maya Davis,Noah Patel,Gulf Air,Gulf Air / JFK*,Other,28350,LAX,E-Liquids,BAH,No,No,No,No,No,California,,Bahrain,2024-03-27T22:29:22.937Z,Released
MAT227530,Blake Garcia,Benjamin Lee,Air India,Air India / SFO *,General,195295,SFO,Bond Maintenance Shampoo,DEL,No,No,No,No,No,California,Punjab,India,2022-12-13T14:44:43.295Z,Completed
MAT233273,Lucas Thompson,Ava Garcia,British Airways,British Airways/SFO *,General,141081,ORD,Machine Parts - non stackable,BOM,No,No,No,No,No,Illinois,Maharashtra,India,2023-05-11T14:00:05.353Z,Completed
MAT223665,Blake Garcia,Benjamin Lee,Air India,Air India / SFO *,Other,120036,SFO,General Cargo,DEL,No,No,No,No,No,,,India,2022-06-28T11:04:49.114Z,Completed
MAT238129,Blake Garcia,Ethan Wright,British Airways,British Airways / SFO *,General,73192,ORD,Brake Assembly,MAA,No,No,No,No,No,Illinois,Tamil Nadu,India,2023-12-21T10:01:40.150Z,Completed
MAT220364,Aurora Patel,Liam Hernandez,Turkish Airlines,Turkish Airlines/JFK *,Other,281237,IAD,Spa Pro Hot Stone Heater,MLE,No,No,No,No,No,District of Columbia,Malé,Maldives,2022-01-19T21:22:25.264Z,Completed
MAT221801,Lucas Thompson,Evelyn King,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,200272,IAH,"HGR CSG, C21-P, 11"" X 7"", HSN,PSL3 PR2 DD-NL U API MONOGRAMMED MTRS INCLUDED",JKT,No,No,No,No,No,Texas,Jakarta Special Capital Region,Indonesia,2022-03-28T18:26:47.632Z,Completed
MAT225206,Evelyn Martin,Benjamin Lee,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,109482,LAX,Essential Oils,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-09-15T20:26:27.505Z,Completed
MAT232298,Alexander Young,Benjamin Lee,Turkish Airlines,Turkish Airlines / JFK*,General,250352,LAX,"E-liquid
",KWI,No,No,No,No,No,California,Farwaniya,Kuwait,2023-03-31T14:16:40.887Z,Completed
MAT203445,Aurora Patel,Mason Clark,All Nippon Airways ,All Nippon Airways/LAX *,Other,262647,IAH,Valve,KUL,No,No,No,No,No,Texas,Selangor,Malaysia,2020-12-22T19:59:24.032Z,Completed
